target_label,objective,tau_AI_us,policy,source_policy,selected_ref_slew_us,objective_score,regret_vs_combined_oracle,selection_basis,boundary
20A,base,0.0,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,base,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,base,2.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,2.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,2.0,near_opt_band_clipping,near_opt_band_clipping,80.0,2.27271123170482,0.13991530588719003,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,base,5.0,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,base,5.0,discrete_dense_long_table,discrete_dense_long_table,80.0,2.27271123170482,0.13991530588719003,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,base,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,base,5.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,5.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,5.0,near_opt_band_clipping,near_opt_band_clipping,80.0,2.27271123170482,0.13991530588719003,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.0,combined_grid_oracle,combined_grid_oracle,66.0,2.398206962702752,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,66.0,2.398206962702752,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.0,r028_dense_anchor_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.0,r028_switching_guarded_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.0,near_opt_band_clipping,near_opt_band_clipping,66.0,2.398206962702752,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.5,combined_grid_oracle,combined_grid_oracle,66.0,2.398206962702752,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.5,discrete_dense_long_table,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,66.0,2.398206962702752,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.5,r028_dense_anchor_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.5,r028_switching_guarded_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,0.5,near_opt_band_clipping,near_opt_band_clipping,66.0,2.398206962702752,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,1.0,combined_grid_oracle,combined_grid_oracle,66.0,2.398206962702752,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,1.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,66.0,2.398206962702752,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,1.0,r028_dense_anchor_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,1.0,r028_switching_guarded_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,1.0,near_opt_band_clipping,near_opt_band_clipping,66.0,2.398206962702752,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,2.0,combined_grid_oracle,combined_grid_oracle,66.0,2.398206962702752,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,2.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,66.0,2.398206962702752,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,2.0,r028_dense_anchor_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,2.0,r028_switching_guarded_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,2.0,near_opt_band_clipping,near_opt_band_clipping,66.0,2.398206962702752,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,5.0,combined_grid_oracle,combined_grid_oracle,66.0,2.398206962702752,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,5.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,66.0,2.398206962702752,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,5.0,r028_dense_anchor_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,5.0,r028_switching_guarded_proxy,discrete_dense_long_table,30.0,2.49270700467967,0.09450004197691841,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle005,5.0,near_opt_band_clipping,near_opt_band_clipping,66.0,2.398206962702752,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.0,combined_grid_oracle,combined_grid_oracle,66.0,2.4451069627027526,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.53960700467967,0.09450004197691753,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.0,near_opt_band_clipping,near_opt_band_clipping,40.0,2.59371606393003,0.14860910122727722,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.5,combined_grid_oracle,combined_grid_oracle,66.0,2.4451069627027526,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.5,discrete_dense_long_table,discrete_dense_long_table,30.0,2.53960700467967,0.09450004197691753,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.5,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.5,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,0.5,near_opt_band_clipping,near_opt_band_clipping,40.0,2.59371606393003,0.14860910122727722,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,1.0,combined_grid_oracle,combined_grid_oracle,66.0,2.4451069627027526,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,1.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.53960700467967,0.09450004197691753,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,1.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,1.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,1.0,near_opt_band_clipping,near_opt_band_clipping,40.0,2.59371606393003,0.14860910122727722,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,2.0,combined_grid_oracle,combined_grid_oracle,66.0,2.4451069627027526,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,2.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.53960700467967,0.09450004197691753,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,2.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,2.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,2.0,near_opt_band_clipping,near_opt_band_clipping,40.0,2.59371606393003,0.14860910122727722,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,5.0,combined_grid_oracle,combined_grid_oracle,66.0,2.4451069627027526,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,5.0,discrete_dense_long_table,discrete_dense_long_table,30.0,2.53960700467967,0.09450004197691753,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,5.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,5.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,30.0,2.53960700467967,0.09450004197691753,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,score_settle010,5.0,near_opt_band_clipping,near_opt_band_clipping,40.0,2.59371606393003,0.14860910122727722,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,base,0.0,combined_grid_oracle,combined_grid_oracle,70.0,8.73772135954474,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,base,0.0,discrete_dense_long_table,discrete_dense_long_table,80.0,8.82504576097426,0.08732440142952136,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,base,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,base,0.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,0.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,0.0,near_opt_band_clipping,near_opt_band_clipping,92.0,8.92023820038568,0.18251684084094144,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,base,0.5,combined_grid_oracle,combined_grid_oracle,70.0,8.73772135954474,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,base,0.5,discrete_dense_long_table,discrete_dense_long_table,80.0,8.82504576097426,0.08732440142952136,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,base,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,base,0.5,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,0.5,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,0.5,near_opt_band_clipping,near_opt_band_clipping,92.0,8.92023820038568,0.18251684084094144,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,base,1.0,combined_grid_oracle,combined_grid_oracle,70.0,8.73772135954474,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,base,1.0,discrete_dense_long_table,discrete_dense_long_table,80.0,8.82504576097426,0.08732440142952136,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,base,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,base,1.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,1.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,1.0,near_opt_band_clipping,near_opt_band_clipping,92.0,8.92023820038568,0.18251684084094144,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,base,2.0,combined_grid_oracle,combined_grid_oracle,70.0,8.73772135954474,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,base,2.0,discrete_dense_long_table,discrete_dense_long_table,80.0,8.82504576097426,0.08732440142952136,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,base,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,base,2.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,2.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,84.0,8.90139622925991,0.1636748697151713,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,2.0,near_opt_band_clipping,near_opt_band_clipping,92.0,8.92023820038568,0.18251684084094144,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,base,5.0,combined_grid_oracle,combined_grid_oracle,70.0,8.73772135954474,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,base,5.0,discrete_dense_long_table,discrete_dense_long_table,80.0,8.82504576097426,0.08732440142952136,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,base,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,80.0,8.82504576097426,0.08732440142952136,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,base,5.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,80.0,8.82504576097426,0.08732440142952136,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,5.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,80.0,8.82504576097426,0.08732440142952136,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,base,5.0,near_opt_band_clipping,near_opt_band_clipping,92.0,8.92023820038568,0.18251684084094144,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.0,combined_grid_oracle,combined_grid_oracle,50.0,10.0080780723436,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.0,discrete_dense_long_table,discrete_dense_long_table,50.0,10.0080780723436,0.0,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,62.0,10.363083552292624,0.355005479949023,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.0,r028_dense_anchor_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.0,r028_switching_guarded_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.0,near_opt_band_clipping,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.5,combined_grid_oracle,combined_grid_oracle,50.0,10.0080780723436,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.5,discrete_dense_long_table,discrete_dense_long_table,50.0,10.0080780723436,0.0,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,62.0,10.363083552292624,0.355005479949023,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.5,r028_dense_anchor_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.5,r028_switching_guarded_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,0.5,near_opt_band_clipping,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,1.0,combined_grid_oracle,combined_grid_oracle,50.0,10.0080780723436,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,1.0,discrete_dense_long_table,discrete_dense_long_table,50.0,10.0080780723436,0.0,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,62.0,10.363083552292624,0.355005479949023,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,1.0,r028_dense_anchor_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,1.0,r028_switching_guarded_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,1.0,near_opt_band_clipping,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,2.0,combined_grid_oracle,combined_grid_oracle,50.0,10.0080780723436,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,2.0,discrete_dense_long_table,discrete_dense_long_table,50.0,10.0080780723436,0.0,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,2.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,62.0,10.363083552292624,0.355005479949023,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,2.0,r028_dense_anchor_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,2.0,r028_switching_guarded_proxy,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,2.0,near_opt_band_clipping,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,5.0,combined_grid_oracle,combined_grid_oracle,50.0,10.0080780723436,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,5.0,discrete_dense_long_table,discrete_dense_long_table,50.0,10.0080780723436,0.0,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,5.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,50.0,10.0080780723436,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,5.0,r028_dense_anchor_proxy,discrete_dense_long_table,50.0,10.0080780723436,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,5.0,r028_switching_guarded_proxy,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle005,5.0,near_opt_band_clipping,near_opt_band_clipping,34.0,10.216964980547816,0.20888690820421552,offline comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.0,combined_grid_oracle,combined_grid_oracle,32.0,10.53206583689932,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.0,discrete_dense_long_table,discrete_dense_long_table,30.0,11.0217091468132,0.4896433099138786,deployable table baseline,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,32.0,10.53206583689932,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
10A,score_settle010,0.0,near_opt_band_clipping,near_opt_band_clipping,32.0,10.53206583689932,0.0,offline comparator,offline R026 grid replay only; not switching re-simulation
