target_label,objective,tau_ai_us,selected_ref_slew_us,band_low_us,band_high_us,rule,evidence,boundary,regret_vs_combined_oracle
10A,score_settle010,2.0,32.0,32.0,32.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
10A,score_settle010,5.0,32.0,32.0,32.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
near0A,base,0.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.2199772991573994
near0A,base,0.5,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.2199772991573994
near0A,base,1.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.2199772991573994
near0A,base,2.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.2199772991573994
near0A,base,5.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.2199772991573994
near0A,score_settle005,0.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.10296617685830256
near0A,score_settle005,0.5,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.10296617685830256
near0A,score_settle005,1.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.10296617685830256
near0A,score_settle005,2.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.10296617685830256
near0A,score_settle005,5.0,60.0,60.0,60.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.10296617685830256
near0A,score_settle010,0.0,38.0,30.0,38.0,near0A strong-settling low-delay band: select the upper fine-sweep edge,R029 tau=0/0.25us held-out rows,"This corrects the fixed 35us guard; it is still a local band, not a global optimum.",0.0
near0A,score_settle010,0.5,30.0,30.0,38.0,near0A strong-settling delayed band: return to dense/proxy lower edge,R029 tau=0.5us held-out row and R027 tau=1/2us priority replay,The 30-38us band should be selected by score/risk proxy; fixed 35us is not retained.,0.23475729598909822
near0A,score_settle010,1.0,30.0,30.0,38.0,near0A strong-settling delayed band: return to dense/proxy lower edge,R029 tau=0.5us held-out row and R027 tau=1/2us priority replay,The 30-38us band should be selected by score/risk proxy; fixed 35us is not retained.,0.23475729598909822
near0A,score_settle010,2.0,30.0,30.0,38.0,near0A strong-settling delayed band: return to dense/proxy lower edge,R029 tau=0.5us held-out row and R027 tau=1/2us priority replay,The 30-38us band should be selected by score/risk proxy; fixed 35us is not retained.,0.23475729598909822
near0A,score_settle010,5.0,30.0,30.0,38.0,near0A strong-settling delayed band: return to dense/proxy lower edge,R029 tau=0.5us held-out row and R027 tau=1/2us priority replay,The 30-38us band should be selected by score/risk proxy; fixed 35us is not retained.,0.23475729598909822
